n,iterational_effective,recursive_effective,iterational
0,109,15,17
1,3520,3442,2588
2,5317,5928,5124
3,6134,13151,7625
4,10013,18542,11497
5,13806,23854,14202
6,17773,29692,17748
7,24611,34082,23167
8,21530,54231,20836
9,32375,45772,30972
10,22715,66495,40671
11,43878,84679,46950
12,46201,84125,54356
13,56462,101736,57186
14,63628,140522,70988
15,76309,138809,86196
16,52402,164969,86968
17,103829,195530,108301
18,118281,200171,134328
19,83767,206988,142984
20,104314,216549,115264
21,131706,231993,162397
22,119894,316605,149619
23,156374,300179,202529
24,103654,327258,229623
25,174721,411984,266868
26,180513,378013,199668
27,175727,407907,254796
28,202061,326438,301862
29,166683,540966,344198
30,266176,520802,341495
31,291817,518614,397803
32,226971,581640,408128
33,289123,603669,374483
34,323531,667104,491949
